,city,longitude,latitude,DFC,coast lat,coast lon,Elevation (m)
0,MIA second try,-80.31694,25.78805,9.938438957,25.72060782,-80.25161699,1.4
1,"Albuquerque, NM",-106.61545,35.04189,738.8399786,31.15669167,-113.0487229,1618.4
2,"Atlanta, GA",-84.44224,33.62972,356.0528683,32.53949616,-80.85496986,308.2
3,"Austin, TX",-97.67989,30.18311,189.515772,28.7297224,-96.65086829,146.5
4,"Baltiore, MD",-76.6111,39.2814,2.183918463,39.2621931,-76.61656654,6.1
5,"Birmingham, AL",-86.7449,33.56545,349.34393,30.41583893,-86.65925045,187.7
6,"Charlotte, NC",-80.95433,35.22254,255.1055772,33.64207591,-78.93797767,222.6
7,"Colorado Springs, CO",-104.68873,38.80949,1139.362025,31.20215245,-113.0917444,1884.2
8,"Corpus Christi, TX",-97.51302,27.77335,7.323674119,27.83527253,-97.48704993,12.5
9,"Dallas, TX",-96.83583,32.83839,382.2225592,29.74974817,-95.05228023,147.6
10,"Fresno, CA",-119.72016,36.77999,203.863467,37.99632396,-121.4453019,101.9
11,"Houston, TX",-95.28212,29.64586,22.37469893,29.7128767,-95.0640763,13.2
12,"Jacksonville, FL",-81.69374,30.49529,19.57353907,30.5512556,-81.50031491,7.2
13,"Las Vegas, NV",-115.16343,36.0719,379.1928901,33.76544958,-118.2265776,662.8
14,"Los Angeles, CA",-118.3866,33.93816,23.39505756,33.75808264,-118.2549889,29.7
15,"Memphis, TN",-89.9864,35.05639,539.1256386,30.25779857,-89.06480872,76.6
16,"Nashville, TN",-86.68815,36.11054,631.6023,30.41583893,-86.65925045,178.9
17,"New Orleans, LA",-90.27772,29.99755,56.25206351,29.51072826,-90.11351478,-1
18,"NYC, NY",-73.96925,40.77898,1.496018708,40.77871328,-73.98696855,42.7
19,"Oklahoma City, OK",-97.38333,35.41667,665.4004865,29.74974817,-95.05228023,393.5
20,"Philadelphia, PA",-75.22681,39.87326,60.97471464,39.58437735,-75.83169512,2.1
21,"Phoenix, AZ",-112.00365,33.4278,263.9846769,31.28803132,-113.2328995,339.2
22,"Salt Lake City, UT",-111.96503,40.77069,872.0308477,38.00389232,-121.4453833,1288.4
23,"San Antonio, TX",-98.58333,29.38333,193.2558008,28.16738516,-97.16478431,207.9
24,"San Diego, CA",-117.1831,32.7336,35.31596074,32.42080208,-117.2536933,4.6
25,"San Jose, CA",-121.92444,37.35938,14.37173304,37.45140209,-122.038645,15
26,"Tampa, FL",-82.54,27.96331,60.27364959,27.4340681,-82.68097897,1.8
27,"Denver, CO",-104.65623,39.84657,1225.608867,31.20215245,-113.0917444,1647.2
28,"Wichita, KS",-97.26667,37.61667,896.3245531,29.74974817,-95.05228023,417.9
29,"Kansas City, Missouri",-94.56028,38.84389,984.6825592,29.98655834,-93.85407467,321.9
30,"St Louis, MO",-90.37342,38.75246,949.930473,30.25779857,-89.06480872,162
31,"Indianapolis, IN",-86.2816,39.72515,791.2203976,38.49407954,-77.26704148,241.3
32,"Louisville, KY",-85.73077,38.17738,740.5612303,38.49407954,-77.26704148,146.3
33,"Columbus, OH",-82.87703,39.99068,511.9067603,38.49407954,-77.26704148,246.8
34,"Cincinnati, OH",-84.41609,39.106,624.5738101,38.49407954,-77.26704148,144.8
35,"Washington, DC",-77.03454,38.84721,0.263310347,38.84526667,-77.03280102,4.1
36,"Pittsburgh, PA",-79.92145,40.3551,293.2889184,38.9019376,-77.06833279,379.2
37,"Buffalo, NY",-78.73606,42.93998,395.6228296,44.99925365,-74.71296139,216.2
38,"Norfolk, VA",-76.19266,36.90371,32.98179633,37.11222151,-75.92860194,3.3
39,"Utica, NY",-75.38389,43.145,212.9257133,44.99925365,-74.71296139,216.7
40,"Boston, MA",-71.00975,42.36057,79.69148498,41.66054922,-71.22061113,3.2
