,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO90,95Q,ACDO90,ACDOMM,Urange,Delta,RHavgOverall,Pcau,POcau,Pexcau,POexcau,Pdan,POdan,Pexdan
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,HIavg,56.31727841917386,16.195447811185453,-0.0815197732306291,7305,0.0,82.86409140214872,85.48090496622741,56.28376923076924,29.0,0.0,0.0,79.23570642838095,0.0,0.0,29.16362654705356,26.546812982974856,41.06111409251905,0.0338124572210814,0.0338124572210814,0.0,0.0,0.0,0.0,0.0
2,"Amarillo, TX",AAS LCD,HIavg,55.78670015558768,17.91067832807538,-0.1761406512800615,7305,0.0,86.55393036835376,91.99615447775004,56.01667857142858,24.40625,0.0,0.0,81.73643363347188,0.0,0.0,36.209454322162365,30.767230212766087,60.72623886264911,0.0829568788501026,0.0830937713894592,0.0001368925393566,0.0001368925393566,0.0,0.0,0.0
3,"Atlanta, GA",AHJ LCD,HIavg,62.788250430044094,15.864801456968353,-0.3021648346330182,7305,0.0,90.639081334604,97.705107845,64.36882142857144,30.0,0.05,1.75,84.70237290187191,0.7833333333333334,0.0,34.916857414955906,27.85083090455992,69.61827501029231,0.1507186858316221,0.1559206023271731,0.0052019164955509,0.0052019164955509,0.0,0.0,0.0
4,"Augusta, ME",ASA LCD,HIavg,45.23411378774389,18.448637315966803,-0.165756463454236,7305,-11.166666666666666,81.06604481358784,91.71340008500005,45.16957692307694,23.875,0.0,0.05,72.28847055578947,0.0,0.0,46.47928629725615,35.83193102584394,75.7900276682663,0.0056125941136208,0.0057494866529774,0.0001368925393566,0.0001368925393566,0.0,0.0,0.0
5,"Austin, TX",ABI LCD,HIavg,68.6713506701736,15.87990910732406,-0.384899510483244,7305,0.0,93.7544468342064,96.37526792285718,70.74262461142861,0.0,0.0,15.85,89.9489984417143,3.412678571428572,0.0,27.70391725268358,25.08309616403281,72.67735359075796,0.2636550308008213,0.3125256673511293,0.048870636550308,0.048870636550308,0.0,0.0,0.0
6,"Bakersfield, CA",BAS LCD,HIavg,64.70541379553639,14.267362590445677,0.054953717402937,7304,0.0,93.52157362811408,102.8525683068966,63.811406084656085,59.45017857142858,0.5,6.25,86.47079818346431,3.195,0.25,38.14715451136021,28.81615983257768,52.28941510644981,0.1779846659364731,0.1952354874041621,0.0172508214676889,0.0172508214676889,0.0,0.0,0.0
7,"Baltiore, MD",MSC LCD,HIavg,58.635620589649015,18.628050882664663,-0.0259486096301763,7253,0.0,96.50521630094754,107.03442550666672,58.493375000000015,24.125,1.8,7.65,86.47549997600004,2.5283333333333333,1.25,48.39880491701769,37.86959571129852,59.74228205780936,0.1278091824072797,0.1501447676823383,0.0220598373086998,0.0223355852750585,0.0002757479663587,0.0002757479663587,0.0
8,"Birmingham, AL",BHA LCD,HIavg,63.84429856239972,16.40184184871633,-0.3425352657398069,7305,0.0,92.2352862308683,97.72251307692312,65.97897222222223,29.125,0.1,4.65,86.41269410166669,1.4666666666666666,0.0,33.87821451452341,28.390987668468583,71.6783465113053,0.1838466803559206,0.1971252566735113,0.0132785763175906,0.0132785763175906,0.0,0.0,0.0
9,"Boise, ID",BAT LCD,HIavg,51.61472149387387,17.216533906230104,0.1082782278292702,7305,-2.903225806451613,85.41247835927217,90.5817432137004,49.54453571428572,29.285714285714285,0.0,0.05,79.3095616062162,0.0,0.0,38.96702171982653,33.7977568653983,56.42979155626215,0.0416153319644079,0.0417522245037645,0.0001368925393566,0.0001368925393566,0.0,0.0,0.0
