,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO90,95Q,ACDO90,ACDOMM,Urange,Delta,RHavgOverall,Pcau,POcau,Pexcau,POexcau,Pdan,POdan,Pexdan
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,HImax,67.01207434392563,17.01339671462999,-0.2816279138283376,7305,0.0,93.63032552790985,97.98196504,69.44500000000001,40.0,0.0,14.3,89.65836704000002,3.953333333333333,0.0,30.969890696074373,26.6182511839842,41.06111409251905,0.2743326488706366,0.3163586584531143,0.0420260095824777,0.0420260095824777,0.0,0.0,0.0
2,"Amarillo, TX",AAS LCD,HImax,70.25900546991028,18.67134077140325,-0.4162359160844134,7305,0.0,102.66715335107124,107.14462764000004,72.60400000000001,40.0,0.0,53.5,96.12066950000008,5.647794289044288,0.0,36.88562217008976,32.40814788116097,60.72623886264911,0.2199863107460643,0.3775496235455167,0.1541409993155373,0.1575633127994524,0.0034223134839151,0.0034223134839151,0.0
3,"Atlanta, GA",AHJ LCD,HImax,72.31882502977962,16.86819126801451,-0.3285599451494392,7305,0.0,102.8980533405263,110.06650330000016,73.798,40.0,0.4,56.1,96.47239145999984,7.293055555555556,0.15,37.74767827022055,30.57922831074669,69.61827501029231,0.2265571526351814,0.3935660506502396,0.1630390143737166,0.1670088980150581,0.0039698836413415,0.0039698836413415,0.0
4,"Augusta, ME",ASA LCD,HImax,53.70052456792609,20.30268524255015,-0.0360490616706286,7305,-7.0,95.42587383864868,105.91111104000016,53.51800000000001,40.0,0.05,5.7,84.12054357199999,1.9333333333333336,0.0,52.21058647207408,41.7253492707226,75.7900276682663,0.0950034223134839,0.1112936344969199,0.0161533196440793,0.016290212183436,0.0001368925393566,0.0001368925393566,0.0
5,"Austin, TX",ABI LCD,HImax,81.3764714058424,17.07334556136097,-0.4997900143618426,7305,0.0,109.78334688054062,125.65553315999996,82.83312406000012,40.0,6.25,126.6,103.57818513999987,15.534054834054832,1.5483333333333331,44.27906175415757,28.406875474698225,72.67735359075796,0.1984941820670773,0.5650924024640657,0.2973305954825462,0.3665982203969883,0.0689938398357289,0.0692676249144421,0.0002737850787132
6,"Bakersfield, CA",BAS LCD,HImax,75.78389928388529,15.419250100628828,-0.0735830776066998,7304,0.0,107.6739106015983,124.66446319999994,76.421,95.27940286000003,2.55,79.45,98.82912850000004,8.247058913308914,0.975,48.88056391611465,31.890011317713004,52.28941510644981,0.2009857612267251,0.4301752464403067,0.2139923329682365,0.2291894852135816,0.0150602409638554,0.015197152245345,0.0001369112814895
7,"Baltiore, MD",MSC LCD,HImax,65.95228347944024,20.196635004322943,-0.0367639713272812,7253,0.0,107.96569597561648,123.26271004000002,66.596,40.0,2.25,43.75,97.0507364159998,4.401332695082695,1.2,57.310426560559776,42.01341249617624,59.74228205780936,0.1830966496622087,0.3133875637667172,0.1151247759547773,0.1302909141045085,0.0151661381497311,0.0151661381497311,0.0
8,"Birmingham, AL",BHA LCD,HImax,74.13619747596441,17.41935242305778,-0.3562424153324088,7305,0.0,105.11206429341466,111.0509535400002,75.763,40.0,1.1,74.35,98.72468388,8.581401515151516,0.5,36.914756064035785,30.975866817450253,71.6783465113053,0.2150581793292265,0.433949349760438,0.2068446269678302,0.2188911704312115,0.0120465434633812,0.0120465434633812,0.0
9,"Boise, ID",BAT LCD,HImax,61.44906498722263,19.793445424858216,0.0480534236563936,7305,0.0,98.57464357419124,104.16005934000002,59.968,40.0,0.0,26.4,91.96502889084306,4.240734126984128,0.0,42.71099435277739,37.125578586968615,56.42979155626215,0.1705681040383299,0.2462696783025325,0.0754277891854894,0.0757015742642026,0.0002737850787132,0.0002737850787132,0.0
10,"Boston, MA",BMA LCD,HImax,58.37686100006442,18.97975903983635,0.0964742632168145,7305,0.0,100.9987389437334,108.6050162200001,57.862,40.0,0.2,14.5,88.74452303999993,2.676309523809524,0.0,50.22815521993567,42.62187794366898,69.4328062345665,0.1215605749486653,0.1633127994524298,0.039151266255989,0.0417522245037645,0.0026009582477754,0.0026009582477754,0.0
11,"Bryce Canyon, UT",BCA LCD,HImax,54.320088556512,17.88768757451976,-0.0375525441518367,5842,0.0,84.52092394860166,88.32935343985471,53.589000000000006,40.0,0.0,0.0,80.39278522000005,0.0,0.0,34.00926488334272,30.200835392089665,62.41914294296677,0.0578568983224923,0.0578568983224923,0.0,0.0,0.0,0.0,0.0
12,"Buffalo, NY",BNI LCD,HImax,55.952481269453806,20.35670761718021,-0.1267474055252172,7305,0.0,93.96782070285713,100.41815208,56.76200000000001,40.0,0.0,6.1,85.59927328,1.9766666666666663,0.0,44.46567081054619,38.01533943340332,74.4608318412961,0.126488706365503,0.1436002737850787,0.0171115674195756,0.0171115674195756,0.0,0.0,0.0
