,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO70,95Q,ACDO70,ACDOMM,Urange,Delta,RHavgOverall,Pcau,POcau,Pexcau,POexcau,Pdan,POdan,Pexdan
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,HImin,45.65364202600958,15.23916224884644,0.0544479156221053,7305,-6.0,13.387096774193548,76.81600000000002,43.43000000000001,30.0,0.0,9.8,23.0,2.0925,0.0,51.65364202600958,32.26654525181603,41.06111409251905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Amarillo, TX",AAS LCD,HImin,43.1855300479124,17.42052959358486,-0.129820038454981,7305,-15.0,0.5135135135135135,76.421,41.71,30.0,0.0,8.55,16.0,2.411666666666666,0.0,58.1855300479124,42.67201653439888,60.72623886264911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"Atlanta, GA",AHJ LCD,HImin,54.11182448895278,15.782629598388048,-0.2626217793960174,7305,0.0,17.40449438202247,87.59790833999998,55.671000000000014,36.0,0.0,75.8,29.0,9.326254856254858,0.0,54.11182448895278,36.70733010693031,69.61827501029231,0.0031485284052019,0.0031485284052019,0.0,0.0,0.0,0.0,0.0
4,"Augusta, ME",ASA LCD,HImin,37.33645448323067,18.10932082017388,-0.2827930004912615,7305,-16.0,-7.761904761904762,78.536,38.0,30.0,0.0,1.9,6.0,0.7833333333333333,0.0,53.33645448323067,45.09835924513543,75.7900276682663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Austin, TX",ABI LCD,HImin,56.90505860364682,16.321230846819812,-0.3714301877821925,7305,0.0,20.37037037037037,86.24035206000012,60.071000000000005,74.41800000000002,0.0,106.6,30.0,9.97933909657594,0.0,56.90505860364682,36.534688233276455,72.67735359075796,0.0167008898015058,0.0167008898015058,0.0,0.0,0.0,0.0,0.0
6,"Bakersfield, CA",BAS LCD,HImin,53.93016077226999,12.860269883858072,0.1989434294872776,7304,0.0,28.234567901234566,87.22770958000018,52.48400000000001,37.0,0.0,47.6,36.0,5.93467032967033,0.0,53.93016077226999,25.695592871035423,52.28941510644981,0.0146495071193866,0.0146495071193866,0.0,0.0,0.0,0.0,0.0
7,"Baltiore, MD",MSC LCD,HImin,51.5469616086447,17.5199263171951,-0.0216293955493245,7253,0.0,12.372093023255816,96.5681896399999,50.5,36.0,0.55,70.45,25.0,7.540752164502164,0.3,51.5469616086447,39.174868585388886,59.74228205780936,0.023990073073211,0.0249551909554667,0.0009651178822556,0.0009651178822556,0.0,0.0,0.0
8,"Birmingham, AL",BHA LCD,HImin,54.07585310143464,16.50330841369719,-0.2934653650790303,7305,0.0,15.743589743589745,86.82201804000003,55.85900000000001,37.0,0.0,81.3,27.0,9.214292513042514,0.0,54.07585310143464,38.332263357844894,71.6783465113053,0.006570841889117,0.006570841889117,0.0,0.0,0.0,0.0,0.0
9,"Boise, ID",BAT LCD,HImin,41.75470650239562,14.28952556644188,0.0647533698822379,7305,-9.0,4.9125,78.52700000000002,39.312,30.0,0.0,5.45,20.0,1.925,0.0,50.75470650239562,36.84220650239562,56.42979155626215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
