,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO90,95Q,ACDO90,ACDOMM,Urange,Delta,RHavgOverall
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,Tavg,58.34056677841933,16.375666899928706,-0.1590503150188365,7305,0.0,85.7940835533424,90.0909090909091,59.0,78.0,0.75,0.05,81.46233766233765,0.0,0.3,31.750342312489764,27.45351677492308,41.06111409251905
2,"Amarillo, TX",AAS LCD,Tavg,56.910733239001175,17.762562784661096,-0.257374170129765,7305,0.0,87.99898436419645,91.671875,57.875,52.25,3.15,0.4,82.42083333333333,0.2,0.9166666666666669,34.761141760998825,31.08825112519527,60.72623886264911
3,"Atlanta, GA",AHJ LCD,Tavg,62.95105838964787,14.591198637127674,-0.4498389267171256,7305,0.0,86.83684007728657,91.57142857142856,64.94642857142857,75.0,1.4,0.35,82.26319327731092,0.3,0.425,28.62037018178069,23.885781687638698,69.61827501029231
4,"Augusta, ME",ASA LCD,Tavg,45.78486967521206,18.425271438608508,-0.2659020217387388,7305,-11.166666666666666,79.35135125521558,85.625,46.88235294117647,65.0,0.0,0.0,71.78151260504201,0.0,0.0,39.84013032478794,33.56648158000352,75.7900276682663
5,"Austin, TX",ABI LCD,Tavg,67.93875679405235,14.052637933801888,-0.5275624193116873,7305,0.0,89.76363011253905,94.10344827586206,70.50943396226415,80.0,13.8,1.0,86.12746823069403,0.45,2.9052777777777776,26.16469148180971,21.82487331848669,72.67735359075796
6,"Bakersfield, CA",BAS LCD,Tavg,66.38684311939362,14.271711225070868,0.0603817284782434,7304,0.0,94.28581548386131,97.78571428571428,65.32142857142857,68.35714285714286,28.65,10.8,88.35714285714286,3.819047619047619,4.744464285714285,31.39887116632066,27.898972364467696,52.28941510644981
7,"Baltiore, MD",MSC LCD,Tavg,59.10637803933074,17.515354919367965,-0.2142212129093348,7259,0.0,90.4959167544784,96.83333333333331,59.833333333333336,76.41666666666667,7.0,1.6,83.87916666666665,0.95,2.3016666666666667,37.726955294002586,31.38953871514766,59.74228205780936
8,"Birmingham, AL",BHA LCD,Tavg,63.73849595307627,14.985260724927835,-0.5069106400319593,7305,0.0,87.83199123906022,90.83333333333331,66.375,74.66666666666667,2.95,0.35,83.10344827586206,0.1,1.2083333333333333,27.094837380257047,24.09349528598395,71.6783465113053
9,"Boise, ID",BAT LCD,Tavg,53.26497132504447,17.846495841503028,0.0528985559047113,7305,-2.903225806451613,88.23426721408623,93.82142857142856,51.892857142857146,51.785714285714285,3.25,0.65,81.75689655172414,0.35,1.6333333333333333,40.556457246384085,34.96929588904176,56.42979155626215
