,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO90,95Q,ACDO90,ACDOMM,Urange,Delta,RHavgOverall
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,Tmax,69.98165639972622,17.31997672334273,-0.2481804826267868,7305,0.0,98.03472222222224,104.0,72.0,90.0,21.1,45.8,94.0,6.171944444444445,4.445,34.01834360027378,28.05306582249601,41.06111409251905
2,"Amarillo, TX",AAS LCD,Tmax,72.24298425735797,18.5209861283192,-0.4591056353113015,7305,0.0,104.82417582417582,110.0,74.0,90.0,42.65,63.6,98.0,5.719080629337983,4.551090159840159,37.757015742642025,32.58119156681785,60.72623886264911
3,"Atlanta, GA",AHJ LCD,Tmax,72.2104038329911,14.918255973861994,-0.5068252505581565,7305,0.0,96.56692913385828,105.0,74.0,81.0,8.9,27.0,92.0,3.652698412698413,2.0428571428571427,32.789596167008895,24.35652530086716,69.61827501029231
4,"Augusta, ME",ASA LCD,Tmax,54.44325804243669,20.043323133978014,-0.1784324057379568,7305,-7.0,90.8080808080808,96.0,55.0,34.0,0.4,2.45,83.0,1.05,0.1,41.55674195756331,36.364822765644114,75.7900276682663
5,"Austin, TX",ABI LCD,Tmax,80.04325804243669,14.683828847802811,-0.6654477044391843,7305,0.0,103.265625,111.0,82.0,92.0,67.8,100.75,99.0,11.115517676767675,9.566338383838383,30.95674195756331,23.22236695756331,72.67735359075796
6,"Bakersfield, CA",BAS LCD,Tmax,77.98562431544359,15.785994746655849,-0.0349221371647132,7304,0.0,107.48809523809524,111.0,78.0,97.0,77.15,98.65,102.0,10.36707458391282,7.720748834498833,33.01437568455641,29.502470922651653,52.28941510644981
7,"Baltiore, MD",MSC LCD,Tmax,66.30155668824906,18.56679408876117,-0.2467238522145164,7259,0.0,99.76315789473684,107.0,68.0,83.0,13.4,28.45,93.0,3.5281684981684984,2.8293650793650795,40.698443311750935,33.46160120648777,59.74228205780936
8,"Birmingham, AL",BHA LCD,Tmax,73.73839835728953,15.247082414148748,-0.554622817014047,7305,0.0,98.51612903225806,105.0,76.0,88.0,17.8,40.3,94.0,4.943912337662338,3.080856227106227,31.26160164271048,24.77773067496853,71.6783465113053
9,"Boise, ID",BAT LCD,Tmax,63.922518822724165,20.67384392931424,0.0497025706903922,7305,0.0,102.77358490566036,109.0,62.0,45.0,31.7,46.55,97.0,5.713079004329004,4.513214285714287,45.07748117727584,38.85106608293621,56.42979155626215
10,"Boston, MA",BMA LCD,Tmax,59.04626967830253,18.22653240051023,-0.078587803421304,7305,0.0,94.65656565656566,102.0,59.0,72.0,3.0,8.45,87.0,2.288333333333333,1.05,42.95373032169747,35.61029597826313,69.4328062345665
11,"Bryce Canyon, UT",BCA LCD,Tmax,56.37846627867169,18.45022640350552,-0.1453528565980262,5842,0.0,88.2439024390244,94.0,57.0,79.0,0.05,0.25,83.0,0.125,0.0,37.62153372132831,31.865436160352708,62.41914294296677
