,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO90,95Q,ACDO90,ACDOMM,Urange,Delta,RHavgOverall
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,Tmax,89.56857416879795,5.653583693624436,-0.6151082896112365,6256,64.0,101.95890410958904,106.0,90.0,92.0,11.428571428571429,41.642857142857146,98.0,6.3220100161276624,3.432703081232493,16.43142583120205,12.39032994079109,42.49595905295491
2,"Amarillo, TX",AAS LCD,Tmax,89.22003212147759,7.429695909666056,-0.631850374928785,6849,55.0,105.41573033707866,110.0,90.0,91.0,15.75,40.3875,100.0,5.776355459355459,3.0571216931216934,20.779967878522413,16.19569821560107,59.06518562307874
3,"Atlanta, GA",AHJ LCD,Tmax,86.9935107073329,5.383925597471897,-0.458959612406408,6164,59.0,100.38709677419357,105.0,87.0,87.0,3.557142857142857,22.257142857142856,95.0,4.181543290871649,1.0515280739161337,18.006489292667098,13.39358606686065,69.17149640398807
4,"Augusta, ME",ASA LCD,Tmax,76.67391304347827,7.639057910392147,-0.4425073660429061,4784,48.0,94.24489795918367,99.0,77.0,79.0,0.1428571428571428,1.5142857142857142,88.0,0.7564102564102565,0.0384615384615384,22.32608695652173,17.57098491570541,73.13627070443104
5,"Austin, TX",ABI LCD,Tmax,94.87903930131004,4.996221012382152,-0.7039506945499425,2290,74.0,105.1470588235294,110.0,95.0,97.0,35.766666666666666,60.46666666666667,102.0,17.85595238095238,11.025079365079366,15.120960698689956,10.268019522219362,72.22768807462114
6,"Bakersfield, CA",BAS LCD,Tmax,95.1600790513834,7.130793915451044,-0.58370530677487,6072,63.0,109.8225806451613,115.0,96.0,99.0,45.15714285714286,64.5,105.0,13.842063492063492,7.603037408719227,19.839920948616594,14.66250159377789,54.149099220897874
7,"Baltiore, MD",MSC LCD,Tmax,86.53850354997269,6.678586283480306,-0.3387343370862373,1831,60.0,102.94736842105264,107.0,87.0,88.0,6.9,24.15,97.0,3.764940476190476,1.9925,20.46149645002731,16.408864871079942,59.74228205780936
8,"Birmingham, AL",BHA LCD,Tmax,88.81829980532122,5.196285047068658,-0.3898500519456409,6164,66.0,101.32631578947368,106.0,89.0,90.0,7.2,33.22857142857143,97.0,5.593077362107212,2.117448471926084,17.181700194678783,12.508015984152465,71.0193987457835
9,"Boise, ID",BAT LCD,Tmax,86.15090314322288,9.857402381185404,-0.6288006481796271,7031,48.0,105.6986301369863,111.0,88.0,90.0,12.8,29.522222222222226,100.0,5.021967846967847,3.132188644688645,24.849096856777123,19.54772699376342,56.98915545589348
10,"Boston, MA",BMA LCD,Tmax,78.79461571862788,8.576185438782105,-0.2504865623658655,6909,48.0,97.12389380530972,102.0,79.0,79.0,1.375,6.95,92.0,2.058803258145364,0.5,23.20538428137212,18.329278086681853,67.94123735333982
11,"Bryce Canyon, UT",BCA LCD,Tmax,76.6154296875,6.849580579294155,-0.9607253265413248,5120,38.0,90.53703703703704,110.0,78.0,79.0,0.0285714285714285,0.2142857142857142,86.0,0.0967741935483871,0.0,33.3845703125,13.92160734953704,59.23349478796104
12,"Buffalo, NY",BNI LCD,Tmax,77.71817895400126,6.753290665004336,-0.420818096231415,6348,50.0,92.24489795918367,96.0,78.0,80.0,0.0285714285714285,1.4,88.0,0.4879227053140096,0.0,18.28182104599874,14.526719005182414,73.43260618684381
13,"Casper, WY",CNA LCD,Tmax,83.32835820895522,9.164526549839776,-1.0276764848700295,6164,36.0,99.04854368932038,103.0,85.0,90.0,2.9625,15.9625,95.0,3.379842131334669,1.082089552238806,19.671641791044777,15.72018548036516,57.43116278003957
14,"Cavern City, NM",CCA LCD,Tmax,94.39484813533257,6.612190661651094,-0.6833812302819037,5202,64.0,109.11290322580643,113.0,95.0,97.0,29.425,48.925,104.0,11.472411019779445,5.343228652439179,18.60515186466744,14.718055090473882,48.65399312150718
15,"Charlotte, NC",CDA LCD,Tmax,87.14065541855938,5.844666944525173,-0.5353069214225847,6164,59.0,100.07954545454544,103.0,88.0,90.0,5.342857142857143,24.34285714285714,96.0,4.052990997393983,1.7360696517412937,15.859344581440624,12.938890035986075,68.09401322160672
16,"Chicago, IL",COI LCD,Tmax,81.18396519577377,7.617896493585357,-0.359350872361412,6436,53.0,98.87323943661973,103.0,82.0,82.0,1.425,8.3,93.0,2.249540816326531,0.5176190476190476,21.81603480422624,17.689274240845947,71.17287504106001
17,"Cincinnati, OH",CMA LCD,Tmax,84.75760869565218,6.182192760270564,-0.4135978592541159,3680,56.0,99.55102040816328,104.0,85.0,84.0,2.8,14.175,94.0,2.879940476190476,0.9675,19.24239130434782,14.793411712511087,75.72689903916357
18,"Cleveland, OH",CHA LCD,Tmax,79.94370538611291,7.187751245717149,-0.3310751330026791,6164,51.0,95.52941176470588,103.0,80.0,81.0,0.4857142857142857,5.385714285714286,91.0,1.5708955223880596,0.1044776119402985,23.05629461388709,15.585706378592974,72.1649980282403
19,"Colorado Springs, CO",CSA LCD,Tmax,81.60887096774194,8.054560518665719,-0.8229669454130574,5704,42.0,96.91525423728814,100.0,83.0,85.0,0.8142857142857143,8.7,93.0,2.691935483870968,0.3870967741935484,18.391129032258064,15.306383269546204,52.134911461542245
20,"Columbus, OH",JGA LCD,Tmax,82.73395445134575,6.408292346197748,-0.3932344393063707,5796,55.0,97.57352941176472,102.0,83.0,85.0,0.9714285714285714,8.414285714285715,92.0,2.3355631141345428,0.3968253968253968,19.266045548654247,14.839574960418958,70.86659809497179
21,"Corpus Christi, TX",CCI LCD,Tmax,91.9141304347826,3.609758902894213,-0.551394552138241,6440,77.0,100.04273504273505,106.0,92.0,93.0,12.557142857142855,61.97142857142857,97.0,12.235379818594105,3.0131746031746025,14.085869565217394,8.12860460795244,76.66316115396938
22,"Dallas, TX",DFA LCD,Tmax,93.9450310559006,5.832902777579971,-0.5456353285631736,6440,64.0,107.1948051948052,111.0,95.0,95.0,38.17142857142857,68.07142857142857,102.0,12.68796485260771,7.53142857142857,17.054968944099386,13.249774138904584,64.01742101545894
23,"Denver, CO",DIA LCD,Tmax,83.41898332009531,10.648342649931456,-0.992410138828948,2518,35.0,99.97916666666669,103.0,86.0,88.0,4.975,16.9,97.0,3.040092592592593,1.7629629629629628,19.581016679904693,16.560183346571364,55.45966051796918
24,"Detroit, MI",DCA LCD,Tmax,80.84225493476079,7.096479960936866,-0.3011428726494254,5978,52.0,97.49180327868852,103.0,81.0,81.0,0.8571428571428571,6.628571428571429,92.0,1.912692307692308,0.2769230769230769,22.15774506523921,16.649548343927734,68.76837028851061
25,"Dickinson, ND",DRA LCD,Tmax,79.93012477718361,9.877923393743544,-0.2654944310613573,5610,41.0,101.81012658227849,109.0,80.0,79.0,3.7,11.714285714285714,95.0,2.74252537080406,1.1857923497267762,29.0698752228164,21.88000180509488,68.74575248164174
26,"Dodge City, KS",DCA LCD,Tmax,89.53912228642824,8.676414774289363,-0.5644978422340039,6403,52.0,105.90090090090092,110.0,90.0,95.0,21.0875,39.3,102.0,5.499575384932528,3.845150999793856,20.46087771357176,16.36177861447267,63.6251790004033
27,"Fargo, ND",FHA LCD,Tmax,79.7652112923023,8.021742087580169,-0.2316461946236463,5703,47.0,99.1304347826087,105.0,80.0,80.0,1.4428571428571428,6.571428571428571,92.0,2.320295698924732,0.4516129032258064,25.234788707697703,19.36522349030641,71.30835996563705
28,"Fresno, CA",FYI LCD,Tmax,94.9083692838654,7.325306215153684,-0.724149723409219,5795,59.0,108.80645161290325,112.0,96.0,99.0,42.04285714285714,61.52857142857143,105.0,13.21567145376669,6.875066423875948,17.091630716134603,13.898082329037834,59.80673112324926
29,"Grand Junction, CO",GJS LCD,Tmax,89.36226476314081,7.095232228318401,-0.9790006615367216,6164,52.0,101.87128712871286,105.0,91.0,90.0,15.414285714285716,43.35714285714285,99.0,6.231215674872392,3.7985548448235016,15.637735236859186,12.50902236557205,48.53176652593117
30,"Havre, MT",HAS LCD,Tmax,80.63002524762089,10.286214776551624,-0.3182113678000893,5149,43.0,101.8108108108108,108.0,81.0,79.0,5.433333333333334,15.533333333333331,96.0,2.926084183673469,1.6832482993197275,27.369974752379107,21.180785563189914,63.882306007509385
31,"Helena, MT",HAA LCD,Tmax,79.76366930171278,10.2957890250439,-0.5224127082184019,6072,40.0,100.14754098360656,104.0,81.0,85.0,2.771428571428572,12.228571428571428,94.0,2.719887183523547,0.9659090909090908,24.23633069828722,20.38387168189378,59.01082491607659
32,"Honolulu, HI",HIA LCD,Tmax,86.0788043478261,2.4090604980903567,-0.175972655163711,7360,77.0,91.23976608187137,94.0,86.0,86.0,0.0,1.8875,90.0,0.4787499999999999,0.0,7.921195652173907,5.160961734045259,68.46217273564248
33,"Houston, TX",HWA LCD,Tmax,91.14511612584418,4.061890506577047,-0.5486072695894902,6071,74.0,101.07575757575758,105.0,92.0,92.0,9.742857142857142,51.92857142857143,97.0,7.921239997376361,2.632070707070707,13.854883874155815,9.930641449913397,74.90032184700092
34,"Idaho Falls, ID",IFA LCD,Tmax,81.67836778332145,9.147134728622207,-0.8826598286559179,5612,44.0,97.79032258064515,102.0,83.0,88.0,1.457142857142857,11.814285714285717,93.0,3.1163934426229503,0.6721311475409836,20.32163221667855,16.11195479732372,64.86131171702284
35,"Indianapolis, IN",IIA LCD,Tmax,83.1953277092797,6.194327980508842,-0.4127131154455544,6164,56.0,97.95121951219512,105.0,84.0,85.0,1.1714285714285717,9.085714285714284,92.0,2.166666666666667,0.3893034825870646,21.804672290720305,14.755891802915428,72.85787104300496
36,"Jacksonville, FL",JIA LCD,Tmax,90.08523119392684,4.223237006451797,-0.433193797296053,5796,69.0,99.8,103.0,90.0,90.0,6.7,38.9,97.0,5.324373069611166,2.275132275132276,12.914768806073155,9.714768806073153,77.1008903429376
