,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO70,95Q,ACDO70,ACDOMM,Urange,Delta,RHavgOverall
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,Tmin,46.9937029431896,15.644754552728244,-0.0801912642856429,7305,-6.0,13.387096774193548,78.0,47.0,64.0,0.0,11.75,23.0,2.8091666666666666,0.0,52.9937029431896,33.60660616899605,41.06111409251905
2,"Amarillo, TX",AAS LCD,Tmin,43.72553045859001,17.530912127530605,-0.2028501734052488,7305,-15.0,0.5135135135135135,77.0,44.0,66.0,0.0,7.05,16.0,1.9916666666666665,0.0,58.72553045859001,43.21201694507649,60.72623886264911
3,"Atlanta, GA",AHJ LCD,Tmin,54.441752224503766,15.153675336052624,-0.3929092948607816,7305,0.0,17.40449438202247,83.0,56.0,72.0,0.05,62.3,29.0,7.256233488733488,0.0,54.441752224503766,37.037257842481296,69.61827501029231
4,"Augusta, ME",ASA LCD,Tmin,37.75852156057495,18.267095944758456,-0.3360898219819143,7305,-16.0,-7.761904761904762,77.0,39.0,30.0,0.0,0.9,6.0,0.525,0.0,53.75852156057495,45.52042632247971,75.7900276682663
5,"Austin, TX",ABI LCD,Tmin,56.770294318959614,15.521086113742184,-0.4819897687437248,7305,0.0,20.37037037037037,81.0,60.0,73.0,0.0,90.15,30.0,8.361570651570652,0.0,56.770294318959614,36.39992394858925,72.67735359075796
6,"Bakersfield, CA",BAS LCD,Tmin,55.27601314348302,12.73490966136271,0.0891016819987092,7304,0.0,28.234567901234566,87.0,54.0,48.0,1.6,50.45,36.0,6.331061022311022,0.6166666666666667,55.27601314348302,27.041445242248454,52.28941510644981
7,"Baltiore, MD",MSC LCD,Tmin,52.15484226477477,16.99511674835788,-0.1803850241407181,7259,0.0,12.372093023255816,88.0,52.0,73.0,1.3,64.2,25.0,6.769111999111999,0.9,52.15484226477477,39.78274924151895,59.74228205780936
8,"Birmingham, AL",BHA LCD,Tmin,54.22149212867899,15.907585720915716,-0.4123057782353473,7305,0.0,15.743589743589745,82.0,57.0,73.0,0.0,68.0,27.0,7.108102853029324,0.0,54.22149212867899,38.47790238508925,71.6783465113053
9,"Boise, ID",BAT LCD,Tmin,42.9056810403833,14.956693195804762,-0.0085122382178805,7305,-9.0,4.9125,79.0,42.0,37.0,0.0,6.8,20.0,2.2208333333333337,0.0,51.9056810403833,37.9931810403833,56.42979155626215
10,"Boston, MA",BMA LCD,Tmin,45.1990417522245,16.778259919502624,-0.2279394172543226,7305,-9.0,3.1724137931034484,83.0,46.0,64.0,0.05,13.4,17.0,3.0821428571428573,0.0,54.1990417522245,42.02662795912106,69.4328062345665
11,"Bryce Canyon, UT",BCA LCD,Tmin,26.010612803834302,16.014764146305353,-0.3886793721121663,5842,-29.0,-17.915254237288135,60.0,27.0,28.0,0.0,0.0,-3.0,0.0,0.0,55.01061280383431,43.92586704112244,62.41914294296677
12,"Buffalo, NY",BNI LCD,Tmin,41.5047227926078,17.846934895266283,-0.2316621870138557,7305,-12.0,-2.0,79.0,42.0,30.0,0.0,7.6,11.0,2.104166666666667,0.0,53.5047227926078,43.5047227926078,74.4608318412961
