,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO70,95Q,ACDO70,ACDOMM,Urange,Delta,RHavgOverall
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,Tmin,64.31489769820972,4.82854450090366,-0.6074657303410421,6256,41.0,48.15942028985507,78.0,65.0,64.0,0.0,6.914285714285715,56.0,1.8328431372549017,0.0,23.31489769820972,16.15547740835465,42.49595905295491
2,"Amarillo, TX",AAS LCD,Tmin,64.41991531610454,4.872536849807828,-0.6393946586685666,6849,41.0,48.85416666666666,77.0,65.0,64.0,0.0,7.35,55.0,1.85,0.0,23.419915316104536,15.565748649437872,59.06518562307874
3,"Atlanta, GA",AHJ LCD,Tmin,69.75957170668397,3.950243859871264,-0.8855873921729195,6164,46.0,55.11940298507463,83.0,70.0,71.0,0.0,40.32857142857143,63.0,6.111849303267214,0.0,23.75957170668397,14.640168721609342,69.17149640398807
4,"Augusta, ME",ASA LCD,Tmin,58.27529264214047,6.159740220164518,-0.6005838174140917,4784,1.0,39.66666666666666,77.0,59.0,57.0,0.0,1.0,48.0,0.5961538461538461,0.0,57.27529264214047,18.608625975473807,73.13627070443104
5,"Austin, TX",ABI LCD,Tmin,72.82882096069869,3.786490454705797,-0.2315738822777562,2290,57.0,60.56,93.0,73.0,73.0,0.2333333333333333,56.23333333333333,66.0,12.293974025974023,0.0,15.828820960698692,12.26882096069869,72.22768807462114
6,"Bakersfield, CA",BAS LCD,Tmin,68.6151185770751,6.601237708268401,-0.3780013576188608,6072,1.0,50.75,87.0,69.0,67.0,0.4571428571428571,34.34285714285714,57.0,6.756445406445407,0.1969696969696969,67.6151185770751,17.865118577075094,54.149099220897874
7,"Baltiore, MD",MSC LCD,Tmin,71.72856362643364,5.228795628633541,-0.3282623587811215,1831,52.0,56.76190476190476,88.0,72.0,73.0,0.9,53.85,62.0,8.049424603174602,0.55,19.72856362643364,14.96665886452888,59.74228205780936
8,"Birmingham, AL",BHA LCD,Tmin,69.76606099935107,4.570108917309457,-1.4926344980716324,6164,8.0,51.90476190476191,82.0,71.0,71.0,0.0,44.35714285714285,61.0,5.958372638969655,0.0,61.76606099935107,17.861299094589164,71.0193987457835
9,"Boise, ID",BAT LCD,Tmin,57.506471341203245,7.53922521721112,-0.0472638210572606,7031,32.0,38.15909090909091,83.0,58.0,58.0,0.0,3.077777777777778,45.0,1.1912393162393162,0.0,25.506471341203245,19.34738043211233,56.98915545589348
10,"Boston, MA",BMA LCD,Tmin,63.59979736575481,5.979029785839457,-0.3149344772094193,6909,3.0,47.16,84.0,64.0,64.0,0.0125,10.1875,53.0,2.7299812030075183,0.0,60.59979736575481,16.439797365754814,67.94123735333982
11,"Bryce Canyon, UT",BCA LCD,Tmin,45.9076171875,8.183984251478895,-0.0513992495747244,5120,19.0,25.196428571428573,76.0,46.0,48.0,0.0,0.0571428571428571,32.0,0.0,0.0,26.9076171875,20.71118861607143,59.23349478796104
12,"Buffalo, NY",BNI LCD,Tmin,60.42958412098299,6.690256673521984,-0.2326171298366849,6348,38.0,42.48484848484848,79.0,61.0,60.0,0.0,5.2,49.0,1.751207729468599,0.0,22.429584120982987,17.944735636134503,73.43260618684381
13,"Casper, WY",CNA LCD,Tmin,52.46804023361454,6.883883310778046,-0.145229109739798,6164,26.0,34.0375,74.0,53.0,53.0,0.0,0.1875,41.0,0.0298507462686567,0.0,26.468040233614538,18.430540233614536,57.43116278003957
14,"Cavern City, NM",CCA LCD,Tmin,68.09515570934256,4.204542908517485,-0.3865526620248182,5202,50.0,55.1764705882353,82.0,68.0,68.0,0.0,17.55,60.05000000000001,3.7100826561352873,0.0,18.095155709342563,12.918685121107266,48.65399312150718
15,"Charlotte, NC",CDA LCD,Tmin,68.45279039584685,4.441874622619884,-1.3421233077052068,6164,6.0,52.85,80.0,69.0,70.0,0.0,30.557142857142857,60.0,4.378283905149577,0.0,62.45279039584685,15.602790395846846,68.09401322160672
16,"Chicago, IL",COI LCD,Tmin,62.02998756991921,7.320964520053711,-0.2926836444377394,6436,38.0,42.45238095238095,86.0,63.0,64.0,0.0125,9.0625,49.0,2.618265306122449,0.0,24.029987569919207,19.57760661753825,71.17287504106001
17,"Cincinnati, OH",CMA LCD,Tmin,64.25597826086957,6.194380089660271,-0.655003707974405,3680,11.0,45.63414634146341,80.0,65.0,66.0,0.0,13.55,53.0,3.1072023809523808,0.0,53.25597826086957,18.621831919406155,75.72689903916357
18,"Cleveland, OH",CHA LCD,Tmin,61.85723556132382,6.835491217459485,-0.4061802614376926,6164,36.0,43.1025641025641,78.0,62.0,66.0,0.0,7.757142857142857,50.0,2.060199004975124,0.0,25.85723556132382,18.75467145875972,72.1649980282403
19,"Colorado Springs, CO",CSA LCD,Tmin,55.846774193548384,5.107574893354715,-0.4936312516609973,5704,32.0,39.96153846153846,72.0,56.0,57.0,0.0,0.0428571428571428,47.0,0.0,0.0,23.846774193548384,15.885235732009924,52.134911461542245
20,"Columbus, OH",JGA LCD,Tmin,63.27605244996549,6.439589156337925,-0.5388608502028529,5796,39.0,44.94871794871795,80.0,64.0,68.0,0.0,9.914285714285716,51.0,2.5180272108843536,0.0,24.27605244996549,18.32733450124754,70.86659809497179
21,"Corpus Christi, TX",CCI LCD,Tmin,75.38478260869566,3.0035307560320508,-2.7019193054653954,6440,4.0,64.33720930232558,84.0,75.0,75.0,0.0285714285714285,86.6,71.0,46.210476190476186,0.0,71.38478260869566,11.047573306370085,76.66316115396938
22,"Dallas, TX",DFA LCD,Tmin,75.69860248447205,4.645173602622743,-0.6918617400113111,6440,53.0,60.0,88.0,76.0,75.0,1.8571428571428568,78.77142857142857,67.0,21.191082766439905,0.6880952380952382,22.698602484472048,15.698602484472048,64.01742101545894
23,"Denver, CO",DIA LCD,Tmin,56.99523431294679,6.79905447135337,-0.6399364546168252,2518,30.0,36.05882352941177,74.0,58.0,60.0,0.0,0.45,45.0,0.0666666666666666,0.0,26.995234312946785,20.936410783535017,55.45966051796918
24,"Detroit, MI",DCA LCD,Tmin,63.37671462027434,6.730629849115036,-0.2701622938494864,5978,39.0,44.77272727272727,83.0,64.0,64.0,0.0,12.514285714285714,52.0,2.681794871794872,0.0,24.376714620274345,18.60398734754707,68.76837028851061
25,"Dickinson, ND",DRA LCD,Tmin,54.22691622103387,6.587463592807476,-0.1339886391918283,5610,31.0,35.983870967741936,77.0,54.0,55.0,0.0,0.3142857142857143,43.0,0.1311475409836065,0.0,23.226916221033868,18.24304525329193,68.74575248164174
26,"Dodge City, KS",DCA LCD,Tmin,65.20256129939091,5.89213095965915,-0.545501575487298,6403,41.0,48.13861386138614,81.0,66.0,66.0,0.0,14.4,54.0,2.9775680272108844,0.0,24.202561299390908,17.063947438004767,63.6251790004033
27,"Fargo, ND",FHA LCD,Tmin,57.92039277573207,7.098439349067292,-0.2053243594071917,5703,33.0,39.04,84.0,58.0,57.0,0.0142857142857142,2.3857142857142857,46.0,1.032258064516129,0.0,24.92039277573207,18.88039277573207,71.30835996563705
28,"Fresno, CA",FYI LCD,Tmin,64.91855047454702,6.086060337107854,0.0386555269488044,5795,45.0,49.73972602739726,90.0,65.0,64.0,0.1142857142857142,14.371428571428572,55.0,3.7453136810279672,0.0634920634920634,19.91855047454702,15.178824447149758,59.80673112324926
29,"Grand Junction, CO",GJS LCD,Tmin,62.22890979883193,5.990583247888141,-0.6170061728066802,6164,35.0,42.44615384615385,79.0,63.0,64.0,0.0,5.371428571428571,51.0,1.4825870646766166,0.0,27.22890979883193,19.78275595267808,48.53176652593117
30,"Havre, MT",HAS LCD,Tmin,52.481452709263934,6.338136241090922,-0.0173167930820953,5149,28.0,35.50877192982456,76.0,53.0,53.0,0.0,0.1666666666666666,42.0,0.0,0.0,24.48145270926393,16.972680779439372,63.882306007509385
31,"Helena, MT",HAA LCD,Tmin,52.1366930171278,6.145530644551899,-0.2183978642773714,6072,28.0,35.27058823529412,73.0,52.0,53.0,0.0,0.0285714285714285,42.0,0.0,0.0,24.1366930171278,16.866104781833677,59.01082491607659
32,"Honolulu, HI",HIA LCD,Tmin,74.4,2.1533719765904857,-0.3233467319511824,7360,64.0,68.26086956521739,82.0,75.0,75.0,0.0,86.9375,71.0,50.983125,0.0,10.400000000000006,6.139130434782615,68.46217273564248
33,"Houston, TX",HWA LCD,Tmin,75.11497282161093,2.771176352673617,-0.9617548695282906,6071,57.0,64.16666666666667,83.0,75.0,75.0,0.0,80.62857142857143,70.0,43.79628427128427,0.0,18.11497282161093,10.948306154944262,74.90032184700092
34,"Idaho Falls, ID",IFA LCD,Tmin,49.14148253741981,6.100892969256643,-0.1638824986352786,5612,10.0,32.128571428571426,71.0,49.0,50.0,0.0,0.0142857142857142,39.0,0.0,0.0,39.14148253741981,17.012911108848385,64.86131171702284
35,"Indianapolis, IN",IIA LCD,Tmin,64.40947436729397,6.215579934509942,-0.5215527057495899,6164,37.0,45.971830985915496,81.0,65.0,66.0,0.0,13.928571428571429,53.0,2.884648187633262,0.0,27.409474367293967,18.43764338137847,72.85787104300496
36,"Jacksonville, FL",JIA LCD,Tmin,72.35317460317461,3.031865831264486,-1.18994258252252,5796,47.0,60.08196721311475,83.0,73.0,73.0,0.0,64.67142857142858,67.0,13.385750140512044,0.0,25.353174603174608,12.271207390059857,77.1008903429376
37,"Kansas City, Missouri",KCA LCD,Tmin,67.62384500745156,6.319116607114333,-0.3216633711279464,3355,45.0,48.97222222222222,90.0,68.0,70.0,0.22,22.64,56.0,4.899028899028898,0.081081081081081,22.623845007451564,18.651622785229343,65.37514660916158
38,"Klamath Falls, OR",KIA LCD,Tmin,47.583316460822026,6.572203445146227,-0.1131419614607427,4939,26.0,30.5,75.0,48.0,46.0,0.0,0.0166666666666666,36.0,0.0,0.0,21.583316460822022,17.083316460822026,66.28106969795752
39,"Las Vegas, NV",MIA LCD,Tmin,76.50790513833992,6.768640641854452,-0.4728573406622645,6072,49.0,55.48529411764706,95.0,77.0,80.0,12.157142857142857,69.9,65.0,25.374963924963925,2.7453282828282832,27.50790513833992,21.022611020692864,29.36589625561554
40,"Lebanon, NH",LMA LCD,Tmin,56.56139555958315,6.973424564684552,-0.2208358702156375,2207,30.0,37.458333333333336,79.0,57.0,57.0,0.0,0.3,45.0,0.1666666666666666,0.0,26.561395559583147,19.10306222624981,74.76129972380312
41,"Los Angeles, CA",LAI LCD,Tmin,62.844581440622974,3.332024351413057,-0.0322268280525817,6164,49.0,54.00990099009901,74.0,63.0,64.0,0.0,0.9571428571428572,57.0,0.4402985074626865,0.0,13.844581440622974,8.834680450523962,71.62437479853978
42,"Louisville, KY",LIA LCD,Tmin,67.69662556781311,5.911617729059553,-0.5827479471144631,6164,42.0,50.1948051948052,84.0,69.0,70.0,0.0142857142857142,31.01428571428572,57.0,4.7768775171760245,0.0,25.696625567813115,17.501820373007916,69.12018659331363
43,"Memphis, TN",MIA LCD,Tmin,72.2629785853342,4.829687148746314,-0.7265082516724329,6164,51.0,57.34,85.0,73.0,73.0,0.1428571428571428,60.65714285714286,63.0,11.080075811419096,0.0746268656716417,21.2629785853342,14.922978585334192,68.20348045272728
44,MIA second try,,Tmin,76.81278390655419,2.9719091674061486,-2.2099009507019103,6164,7.0,69.73648648648648,85.0,77.0,77.0,0.1571428571428571,85.92857142857143,72.0,72.67537313432835,0.0746268656716417,69.81278390655419,7.076297420067704,73.2323042281396
45,"Miles City, MT",MCA LCD,Tmin,58.25098814229249,6.992461285831441,-0.1056331599917986,6072,32.0,39.48571428571429,80.0,58.0,57.0,0.0,3.0,46.0,0.7863636363636364,0.0,26.25098814229249,18.765273856578204,62.58395532089705
