,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO80,95Q,ACDO80,ACDOMM,Urange,Delta,RHavgOverall
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,WBTavg,44.657434504998776,11.882723940079543,-0.0701666425814514,7305,0.0,64.47842949946487,66.0,44.0,38.5,0.0,0.0,62.45394957983192,0.0,0.0,21.342565495001224,19.82099499446609,41.06111409251905
2,"Amarillo, TX",AAS LCD,WBTavg,47.75235327981563,14.721665006356163,-0.2729440967351568,7305,0.0,69.93108613963489,73.32432432432432,48.22727272727273,62.5,0.0,0.0,67.45084256138661,0.0,0.0,25.571971044508693,22.178732859819256,60.72623886264911
3,"Atlanta, GA",AHJ LCD,WBTavg,56.23830970061138,13.789328254304284,-0.5078564435498479,7305,0.0,75.81385955337457,77.57142857142857,58.67857142857143,72.0,0.0,0.0,73.54142857142857,0.0,0.0,21.333118870817188,19.57554985276319,69.61827501029231
4,"Augusta, ME",ASA LCD,WBTavg,41.72868124290135,17.40585912845242,-0.277728087839876,5479,-8.196428571428571,71.54587659005583,74.16666666666667,43.04347826086956,32.0,0.0,0.0,66.52063157894736,0.0,0.0,32.437985423765326,29.81719534715448,75.7900276682663
5,"Austin, TX",ABI LCD,WBTavg,61.24589615851632,13.019371186497304,-0.6631542833818688,7304,0.0,77.70662123528244,79.5,64.75862068965517,74.0,0.05,0.0,75.93939393939394,0.0,0.0,18.25410384148368,16.460725076766117,72.67735359075796
6,"Bakersfield, CA",BAS LCD,WBTavg,54.14821293536013,8.242889999003344,-0.1579040852887711,7291,0.0,71.52882312128607,77.25,54.07142857142857,63.0,0.0,0.0,66.5,0.0,0.0,23.101787064639872,17.38061018592594,52.28941510644981
7,"Baltiore, MD",MSC LCD,WBTavg,51.76252391879757,15.885998294733977,-0.2550193865594871,5443,0.0,77.55151515151516,80.33333333333333,52.625,70.0,0.1,0.05,74.04166666666667,0.0,0.1,28.57080941453576,25.788991232717592,59.74228205780936
8,"Birmingham, AL",BHA LCD,WBTavg,57.29843416945539,14.000081685574676,-0.549900005061132,5486,0.0,76.82428861558867,78.0,59.848135964912274,73.0,0.0,0.0,74.70833333333333,0.0,0.0,20.70156583054461,19.52585444613328,71.6783465113053
9,"Boise, ID",BAT LCD,WBTavg,43.29548740718469,11.617549064799167,-0.3207676688370631,7304,-3.806451612903226,64.29786321905014,67.14285714285714,43.75,49.0,0.0,0.0,60.24464285714284,0.0,0.0,23.847369735672444,21.00237581186545,56.42979155626215
