,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO80,95Q,ACDO80,ACDOMM,Urange,Delta,RHavgOverall
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,WBTavg,58.644998272246646,4.307667717585714,-0.9741256112412944,6256,41.583333333333336,65.24198690980414,66.66666666666667,59.708333333333336,61.75,0.0,0.0,63.810810810810814,0.0,0.0,8.021668394420026,6.596988637557494,42.49595905295491
2,"Amarillo, TX",AAS LCD,WBTavg,64.27270058591917,3.3393405701166703,-1.2111849306103823,6757,45.625,70.49630656216421,73.32432432432432,64.875,65.75,0.0,0.0,68.5,0.0,0.0,9.051623738405157,6.22360597624504,59.06518562307874
3,"Atlanta, GA",AHJ LCD,WBTavg,70.45829695225915,3.525859752976256,-1.2012655538712378,6164,50.708333333333336,76.9605802842929,79.79166666666667,71.20833333333333,72.0,0.0142857142857142,0.0,74.86599825632082,0.0,0.0,9.333369714407524,6.502283332033755,69.17149640398807
4,"Augusta, ME",ASA LCD,WBTavg,61.304856502114845,5.672329970362052,-0.1813333460585832,2760,42.958333333333336,74.3054300743956,76.875,61.5,59.625,0.0,0.0,70.19513888888888,0.0,0.0,15.570143497885155,13.000573572280755,73.13627070443104
5,"Austin, TX",ABI LCD,WBTavg,74.02842590035453,2.211153263430446,-1.2290101187953637,1930,62.53846153846154,78.20795471744268,79.28571428571429,74.38675213675214,74.0,0.0,0.0,76.9201923076923,0.0,0.0,5.257288385359757,4.179528817088141,72.22768807462114
6,"Bakersfield, CA",BAS LCD,WBTavg,63.35141378523445,3.95033089343378,-0.3422044763023616,6067,47.25,72.91694939938733,77.25,63.52173913043478,63.0,0.0,0.0,69.5,0.0,0.0,13.898586214765553,9.565535614152886,54.149099220897874
7,"Baltiore, MD",MSC LCD,WBTavg,69.2322339689168,4.968385006642122,-0.5070811213911846,1377,52.91666666666666,78.58035714285714,80.33333333333333,69.95833333333333,74.04166666666667,0.1,0.05,76.13333333333334,0.0,0.1,11.101099364416529,9.348123173940335,59.74228205780936
8,"Birmingham, AL",BHA LCD,WBTavg,71.4589507538223,3.5008931280527764,-1.2728265768308042,5489,50.625,77.37152708516996,79.75,72.25,73.125,0.0142857142857142,0.0,75.67311827956989,0.0,0.0,8.291049246177707,5.912576331347665,71.0193987457835
9,"Boise, ID",BAT LCD,WBTavg,55.76844473681335,4.569350041882879,-0.3961261158294833,6164,38.5,65.80399066631551,69.20833333333333,56.125,57.5,0.0,0.0,62.642857142857146,0.0,0.0,13.439888596519978,10.035545929502163,56.98915545589348
10,"Boston, MA",BMA LCD,WBTavg,63.79063452037129,5.686335466711508,-0.3001900179559029,6899,43.208333333333336,75.74770116252233,78.5,64.0,63.25,0.0,0.0,72.5,0.0,0.0,14.709365479628708,11.95706664215104,67.94123735333982
