,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO80,95Q,ACDO80,ACDOMM,Urange,Delta,RHavgOverall
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,WBTmax,49.228747433264886,10.94989373923866,-0.1714848145905683,7305,0.0,67.33009708737865,70.0,49.0,63.0,0.0,0.0,65.0,0.0,0.0,20.771252566735114,18.10134965411376,41.06111409251905
2,"Amarillo, TX",AAS LCD,WBTmax,54.51266255989049,13.395612993157563,-0.3813411053826552,7305,0.0,75.69090909090909,79.0,55.0,70.0,0.0,0.0,72.0,0.0,0.0,24.48733744010952,21.1782465310186,60.72623886264911
3,"Atlanta, GA",AHJ LCD,WBTmax,60.62765229295003,12.807890354660495,-0.6223603469120352,7305,0.0,78.40490797546012,81.0,63.0,73.0,0.0,0.05,77.0,0.0,0.0,20.37234770704997,17.777255682510088,69.61827501029231
4,"Augusta, ME",ASA LCD,WBTmax,46.93265194378536,17.142585897240007,-0.2609449725883366,5479,-3.0,75.9873417721519,79.0,48.0,33.0,0.0,0.0,71.0,0.0,0.0,32.06734805621464,29.05468982836653,75.7900276682663
5,"Austin, TX",ABI LCD,WBTmax,66.16018619934283,11.509238289797114,-0.917736104972294,7304,0.0,80.48314606741573,86.0,70.0,77.0,0.3,0.75,79.0,0.35,0.1,19.83981380065717,14.3229598680729,72.67735359075796
6,"Bakersfield, CA",BAS LCD,WBTmax,58.89740776299547,8.092721999620966,-0.1726904086722476,7291,0.0,75.50909090909092,85.0,59.0,67.0,0.1,0.15,71.0,0.0,0.0,26.10259223700453,16.611683146095444,52.28941510644981
7,"Baltiore, MD",MSC LCD,WBTmax,55.91952967113724,15.527013282191804,-0.3544734561308604,5443,0.0,80.64516129032258,84.0,58.0,72.0,0.35,1.25,77.0,0.5625,0.125,28.08047032886276,24.725631619185336,59.74228205780936
8,"Birmingham, AL",BHA LCD,WBTmax,61.8908129784907,12.852011060249142,-0.6655043315994544,5486,0.0,79.46268656716418,82.0,64.0,76.0,0.05,0.5,78.0,0.1764705882352941,0.0,20.1091870215093,17.571873588673483,71.6783465113053
9,"Boise, ID",BAT LCD,WBTmax,47.91223986856517,11.590946783497143,-0.3276787606539671,7304,0.0,67.70068027210884,71.0,48.0,61.0,0.0,0.0,65.0,0.0,0.0,23.087760131434827,19.788440403543667,56.42979155626215
10,"Boston, MA",BMA LCD,WBTmax,50.97234770704996,15.6056046296578,-0.2561004681852392,7305,0.0,77.82828282828282,81.0,52.0,65.0,0.0,0.05,74.0,0.0,0.0,30.02765229295004,26.85593512123286,69.4328062345665
11,"Bryce Canyon, UT",BCA LCD,WBTmax,41.48675315183629,11.436086901169135,-0.1983212468364951,5473,0.0,61.56,65.0,42.0,39.0,0.0,0.0,59.0,0.0,0.0,23.51324684816371,20.07324684816372,62.41914294296677
12,"Buffalo, NY",BNI LCD,WBTmax,49.13853524982888,16.698952174938587,-0.3202566680106238,7305,-1.0,75.81944444444444,79.0,51.0,64.0,0.0,0.0,72.0,0.0,0.0,29.86146475017112,26.68090919461556,74.4608318412961
13,"Casper, WY",CNA LCD,WBTmax,43.31644529645351,13.735294601996278,-0.4494453358229332,7303,-9.0,65.7128712871287,69.0,44.0,60.0,0.0,0.0,62.0,0.0,0.0,25.68355470354649,22.3964259906752,59.700869287419714
14,"Cavern City, NM",CCA LCD,WBTmax,56.65283363802559,11.255725588130035,-0.3630950366509042,5470,0.0,73.66906474820144,78.0,57.0,70.0,0.0,0.0,72.0,0.0,0.0,21.34716636197441,17.016231110175845,49.04625017421243
15,"Charlotte, NC",CDA LCD,WBTmax,59.52724776938916,13.517064338121006,-0.5156565444673629,7285,0.0,79.3132530120482,82.0,62.0,74.0,0.05,0.25,77.0,0.0,0.0,22.472752230610844,19.78600524265904,68.85647395101306
16,"Chicago, IL",COI LCD,WBTmax,50.23189596167009,17.377261643008456,-0.3364977739522069,7305,-11.0,78.89010989010988,82.0,52.0,65.0,0.05,0.25,75.0,0.1,0.0,31.76810403832991,28.6582139284398,71.09974527639382
17,"Cincinnati, OH",CMA LCD,WBTmax,55.8141996714729,16.15035246926417,-0.457677998149563,5479,0.0,80.67088607594937,84.0,59.0,74.0,0.55,1.7,77.0,1.1875,0.25,28.1858003285271,24.85668640447647,78.39733784069301
18,"Cleveland, OH",CHA LCD,WBTmax,51.48158795345654,16.639108387680928,-0.3704760541070769,7305,0.0,77.88288288288288,82.0,54.0,64.0,0.05,0.1,74.0,0.0,0.0,30.51841204654346,26.401294929426346,72.15655838036331
19,"Colorado Springs, CO",CSA LCD,WBTmax,45.78144969874019,12.55724445904136,-0.3365112820933145,5477,-2.0,66.51898734177215,69.0,46.0,60.0,0.0,0.0,64.0,0.0,0.0,23.21855030125981,20.73753764303196,53.67033305871527
20,"Columbus, OH",JGA LCD,WBTmax,53.03764544832307,16.268110626019613,-0.4435471544920439,7305,0.0,77.81343283582089,81.0,56.0,73.0,0.0,0.25,75.0,0.1,0.0,27.96235455167693,24.77578738749782,71.33817300384133
21,"Corpus Christi, TX",CCI LCD,WBTmax,70.68784227820372,10.038686670323845,-1.183519902463209,7304,0.0,82.36888888888889,84.0,74.0,80.0,9.55,27.55,81.0,3.3433658008658007,1.6888888888888889,13.312157721796282,11.681046610685172,76.98365622323838
22,"Corpus Christi, TX",CCI LCD,WBTmax,70.68784227820372,10.038686670323845,-1.183519902463209,7304,0.0,82.36888888888889,84.0,74.0,80.0,9.55,27.55,81.0,3.3433658008658007,1.6888888888888889,13.312157721796282,11.681046610685172,76.98365622323838
23,"Dallas, TX",DFA LCD,WBTmax,63.29189485213582,12.751251899190564,-0.7351684610131979,5478,0.0,79.33108108108108,82.0,66.0,76.0,0.05,0.2,78.0,0.125,0.0,18.70810514786418,16.039186228945262,64.18658339593368
24,"Denver, CO",DIA LCD,WBTmax,46.41772334293948,12.862305694747436,-0.3942548672202328,6940,-3.0,67.58441558441558,70.0,47.0,61.0,0.0,0.0,64.0,0.0,0.0,23.58227665706052,21.1666922414761,54.75140186157479
25,"Detroit, MI",DCA LCD,WBTmax,50.45776279755635,16.80114731103558,-0.2934314157123481,4747,-1.0,78.28787878787878,82.0,52.0,64.0,0.05,0.3,74.0,0.2857142857142857,0.0,31.54223720244365,27.83011599032244,71.13989435529771
26,"Dickinson, ND",DRA LCD,WBTmax,43.75743931088488,18.14159734666723,-0.5030275658214114,5108,-27.0,74.875,80.0,45.0,34.0,0.0,0.0,69.0,0.0,0.0,36.24256068911512,31.11756068911512,72.05358574507032
27,"Dodge City, KS",DCA LCD,WBTmax,53.41084634346754,15.151880854279938,-0.4129817554377801,7302,0.0,75.61146496815287,79.0,55.0,71.0,0.0,0.0,73.0,0.0,0.0,25.58915365653246,22.200618624685333,64.49237809441135
28,"Fargo, ND",FHA LCD,WBTmax,44.33907412510334,20.67419234379798,-0.4223762230471315,7258,-24.0,78.46511627906976,85.0,47.0,66.0,0.15,0.3,73.0,0.2,0.0,40.66092587489666,34.126042153966424,72.78018814634571
29,"Fresno, CA",FYI LCD,WBTmax,58.688699945145366,8.086759975422371,-0.2006245030270871,7292,0.0,74.91954022988506,81.0,59.0,67.0,0.0,0.05,71.0,0.0,0.0,22.31130005485464,16.230840284739692,57.50183124870431
30,"Grand Junction, CO",GJS LCD,WBTmax,46.86346206518762,12.338126747404988,-0.3302212230384302,7302,0.0,67.6082474226804,72.0,48.0,57.0,0.0,0.0,65.0,0.0,0.0,25.13653793481238,20.744785357492788,50.02244446870054
