,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO80,95Q,ACDO80,ACDOMM,Urange,Delta,RHavgOverall
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,WBTmax,62.404251918158565,3.644150773824876,-0.9248335714523738,6256,47.0,68.40425531914893,71.0,63.0,65.0,0.0,0.0,67.0,0.0,0.0,8.595748081841435,6.000003400990366,42.49595905295491
2,"Amarillo, TX",AAS LCD,WBTmax,68.56400769572295,3.3360358539033883,-0.8686492835522162,6757,49.0,75.66923076923077,79.0,69.0,70.0,0.0,0.0,73.0,0.0,0.0,10.43599230427705,7.105223073507816,59.06518562307874
3,"Atlanta, GA",AHJ LCD,WBTmax,73.73134328358209,3.513049384260222,-1.0862539746074622,6164,56.0,80.56338028169014,83.0,74.0,75.0,0.1285714285714285,0.4,78.0,0.0820895522388059,0.0298507462686567,9.268656716417908,6.832036998108052,69.17149640398807
4,"Augusta, ME",ASA LCD,WBTmax,66.14855072463769,5.961321411571825,-0.2351271617697776,2760,46.0,79.04651162790698,83.0,66.0,66.0,0.0142857142857142,0.0714285714285714,75.0,0.0,0.0,16.851449275362313,12.897960903269292,73.13627070443104
5,"Austin, TX",ABI LCD,WBTmax,76.64455958549223,2.02806320169676,-0.9228273310862264,1930,64.0,80.51428571428572,86.0,77.0,77.0,0.1666666666666666,0.3333333333333333,79.0,0.238095238095238,0.0952380952380952,9.355440414507768,3.869726128793488,72.22768807462114
6,"Bakersfield, CA",BAS LCD,WBTmax,68.04549200593374,3.926753218209293,-0.401719346560644,6067,51.0,76.77777777777777,84.0,68.0,69.0,0.0142857142857142,0.0428571428571428,74.0,0.0,0.0,15.954507994066262,8.732285771844033,54.149099220897874
7,"Baltiore, MD",MSC LCD,WBTmax,72.35584604212055,4.928069045437775,-0.5337550534652706,1377,57.0,81.39285714285714,84.0,73.0,76.0,0.35,1.2,79.0,0.6,0.1333333333333333,11.644153957879452,9.037011100736592,59.74228205780936
8,"Birmingham, AL",BHA LCD,WBTmax,75.04572781927492,3.395407031306548,-1.13705334954178,5489,55.0,81.27868852459017,84.0,76.0,76.0,0.1714285714285714,0.8714285714285714,79.0,0.3222222222222222,0.0333333333333333,8.954272180725084,6.23296070531525,71.0193987457835
9,"Boise, ID",BAT LCD,WBTmax,60.8840038935756,4.79826756644314,-0.4938213297631241,6164,42.0,70.6826923076923,77.0,61.0,62.0,0.0,0.0,68.0,0.0,0.0,16.115996106424397,9.798688414116704,56.98915545589348
10,"Boston, MA",BMA LCD,WBTmax,67.56660385563126,5.894075699890742,-0.3698262096673444,6899,48.0,79.43835616438356,81.0,68.0,68.0,0.0,0.0625,76.0,0.0,0.0,13.433396144368745,11.871752308752306,67.94123735333982
11,"Bryce Canyon, UT",BCA LCD,WBTmax,55.38239608801956,4.9306667848637655,-0.3118616197313185,4090,28.0,67.81818181818181,70.0,56.0,57.0,0.0,0.0,62.0,0.0,0.0,14.61760391198044,12.435785730162252,59.23349478796104
12,"Buffalo, NY",BNI LCD,WBTmax,66.71754883427852,5.587570668605788,-0.4563940397106882,6348,44.0,77.6,82.0,67.0,70.0,0.0142857142857142,0.0571428571428571,75.0,0.0289855072463768,0.0,15.282451165721485,10.882451165721475,73.43260618684381
13,"Casper, WY",CNA LCD,WBTmax,58.64744039270687,4.310405285923287,-0.8568725260948793,5704,35.0,67.51724137931035,69.0,59.0,60.0,0.0,0.0,65.0,0.0,0.0,10.35255960729313,8.86980098660348,57.43116278003957
14,"Cavern City, NM",CCA LCD,WBTmax,69.15755467196819,2.8015061953736136,-0.797281601602237,2012,57.0,75.56521739130434,78.0,69.0,71.0,0.0,0.0,73.0,0.0,0.0,8.842445328031815,6.407662719336159,48.65399312150718
15,"Charlotte, NC",CDA LCD,WBTmax,73.34794609514532,3.880278308691115,-1.0856119610543316,6159,52.0,79.26291079812206,81.0,74.0,76.0,0.0,0.1285714285714285,78.0,0.0298507462686567,0.0,7.652053904854682,5.9149647029767465,68.09401322160672
16,"Chicago, IL",COI LCD,WBTmax,69.20364032358432,6.144829948746241,-0.3836379826165535,6428,47.0,81.66265060240964,85.0,70.0,73.0,0.425,1.0125,78.0,0.4214285714285714,0.1571428571428571,15.796359676415676,12.459010278825318,71.17287504106001
17,"Cincinnati, OH",CMA LCD,WBTmax,72.48913043478261,4.995565929301831,-0.4825332961096557,1380,55.0,81.47222222222223,84.0,73.0,74.0,0.275,0.85,80.0,1.2666666666666666,0.2666666666666666,11.51086956521739,8.98309178743962,75.72689903916357
18,"Cleveland, OH",CHA LCD,WBTmax,68.68656716417911,5.6349650035044,-0.5123534156322158,6164,47.0,79.77777777777777,84.0,69.0,71.0,0.1,0.2285714285714285,77.0,0.0373134328358208,0.0298507462686567,15.31343283582089,11.091210613598662,72.1649980282403
19,"Colorado Springs, CO",CSA LCD,WBTmax,59.851783893985726,3.7138539127166186,-0.9594309436806924,4905,39.0,67.32075471698113,69.0,60.0,62.0,0.0,0.0,65.0,0.0,0.0,9.148216106014274,7.468970822995402,52.134911461542245
20,"Columbus, OH",JGA LCD,WBTmax,69.92460317460318,5.3600207616292765,-0.5062894774692684,5796,49.0,80.55384615384615,84.0,71.0,73.0,0.1,0.3571428571428571,78.0,0.1587301587301587,0.0317460317460317,14.075396825396822,10.629242979242974,70.86659809497179
