,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO70,95Q,ACDO70,ACDOMM,Urange,Delta,RHavgOverall
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,WBTmin,39.32950034223135,13.060182354453854,0.0431807906006298,7305,-7.0,10.623529411764704,64.0,38.0,30.0,0.0,0.0,20.0,0.0,0.0,46.32950034223135,28.70597093046664,41.06111409251905
2,"Amarillo, TX",AAS LCD,WBTmin,40.44394250513347,16.37938009596133,-0.2108768245682025,7305,-15.0,-0.2857142857142857,68.0,40.0,61.0,0.0,0.0,14.0,0.0,0.0,55.44394250513347,40.72965679084776,60.72623886264911
3,"Atlanta, GA",AHJ LCD,WBTmin,51.41642710472279,15.193307132478605,-0.3880109632512296,7305,0.0,14.761363636363637,75.0,54.0,69.0,0.0,23.15,26.0,4.33047619047619,0.0,51.41642710472279,36.65506346835916,69.61827501029231
4,"Augusta, ME",ASA LCD,WBTmin,35.72732250410659,18.233246840560543,-0.2829288478490999,5479,-15.0,-7.707692307692308,71.0,37.0,29.0,0.0,0.05,4.0,0.0,0.0,50.72732250410659,43.435014811798894,75.7900276682663
5,"Austin, TX",ABI LCD,WBTmin,55.20057502738226,15.369558350039147,-0.4805158502855925,7304,0.0,19.53333333333333,77.0,58.5,72.0,0.0,70.0,28.0,6.013124658279457,0.0,55.20057502738226,35.667241694048926,72.67735359075796
6,"Bakersfield, CA",BAS LCD,WBTmin,48.7321355095323,8.709911089072747,-0.1820950641367358,7291,0.0,26.81578947368421,72.0,49.0,45.0,0.0,0.25,34.0,0.0,0.0,48.7321355095323,21.91634603584809,52.28941510644981
7,"Baltiore, MD",MSC LCD,WBTmin,47.26253904097005,16.477833119995356,-0.174454839641549,5443,0.0,8.706896551724139,78.0,47.0,37.0,0.1,15.35,21.0,3.340625,0.0,47.26253904097005,38.55564248924591,59.74228205780936
8,"Birmingham, AL",BHA LCD,WBTmin,51.64728399562523,15.675473494960274,-0.3905403227249775,5486,0.0,13.774193548387096,76.0,54.0,70.0,0.0,25.5,25.0,4.937745098039216,0.0,51.64728399562523,37.87309044723813,71.6783465113053
9,"Boise, ID",BAT LCD,WBTmin,37.96892113910186,11.6688984369096,-0.3179797905441264,7304,-10.0,3.9615384615384617,65.0,38.0,46.0,0.0,0.0,18.0,0.0,0.0,47.96892113910186,34.0073826775634,56.42979155626215
10,"Boston, MA",BMA LCD,WBTmin,41.799589322381934,16.517365216600318,-0.2200358878340554,7305,-10.0,1.5172413793103448,76.0,42.0,59.0,0.0,3.15,14.0,1.2375,0.0,51.799589322381934,40.28234794307159,69.4328062345665
11,"Bryce Canyon, UT",BCA LCD,WBTmin,23.53590352640234,15.015475268052628,-0.3734124539484821,5473,-29.0,-18.545454545454547,55.0,24.0,24.0,0.0,0.0,-4.0,0.0,0.0,52.535903526402336,42.08135807185688,62.41914294296677
12,"Buffalo, NY",BNI LCD,WBTmin,39.2776180698152,17.217515676536742,-0.2263325329817991,7305,-12.0,-2.7721518987341773,75.0,39.0,56.0,0.0,1.55,10.0,0.5375,0.0,51.2776180698152,42.04976996854938,74.4608318412961
13,"Casper, WY",CNA LCD,WBTmin,30.04463918937423,15.056302420865537,-0.5368282804387396,7303,-29.0,-17.733333333333334,61.0,31.0,29.0,0.0,0.0,4.0,0.0,0.0,59.04463918937423,47.777972522707564,59.700869287419714
14,"Cavern City, NM",CCA LCD,WBTmin,43.74826325411335,14.76736333390742,-0.0684677930039651,5470,-4.0,11.155172413793103,72.0,43.0,63.0,0.0,0.15,21.0,0.125,0.0,47.74826325411335,32.593090840320244,49.04625017421243
15,"Charlotte, NC",CDA LCD,WBTmin,48.99698009608785,15.948828317993488,-0.2652154180249695,7285,0.0,13.151162790697674,76.0,50.0,68.0,0.0,17.2,23.0,4.125,0.0,48.99698009608785,35.84581730539018,68.85647395101306
16,"Chicago, IL",COI LCD,WBTmin,40.05694729637235,18.313642502267264,-0.2972320769126775,7305,-23.0,-6.487804878048781,76.0,40.0,59.0,0.0,3.7,8.0,1.525,0.0,63.05694729637235,46.544752174421134,71.09974527639382
17,"Cincinnati, OH",CMA LCD,WBTmin,43.39551012958569,17.290344155418374,-0.2313246773671209,5479,-14.0,-0.1833333333333333,76.0,44.0,64.0,0.0,5.2,15.0,2.364583333333333,0.0,57.39551012958569,43.57884346291902,78.39733784069301
18,"Cleveland, OH",CHA LCD,WBTmin,41.355373032169744,17.14621044814766,-0.2543669726210072,7305,-14.0,-1.8571428571428568,74.0,42.0,60.0,0.0,3.0,13.0,1.2916666666666663,0.0,55.355373032169744,43.2125158893126,72.15655838036331
19,"Colorado Springs, CO",CSA LCD,WBTmin,33.211612196457914,14.97660363587166,-0.193584944679109,5477,-16.0,-5.403225806451613,61.0,32.0,51.0,0.0,0.0,9.0,0.0,0.0,49.21161219645792,38.61483800290953,53.67033305871527
20,"Columbus, OH",JGA LCD,WBTmin,42.912525667351126,17.45905194207706,-0.2727843391103879,7305,-12.0,-1.1566265060240963,75.0,43.0,63.0,0.0,5.4,14.0,2.145,0.0,54.912525667351126,44.06915217337522,71.33817300384133
21,"Corpus Christi, TX",CCI LCD,WBTmin,61.78504928806134,13.18755578250717,-0.7307055441411149,7304,0.0,27.462365591397848,80.0,66.0,74.0,6.2,128.1,37.0,12.168068867407102,1.6625,61.78504928806134,34.32268369666349,76.98365622323838
22,"Corpus Christi, TX",CCI LCD,WBTmin,61.78504928806134,13.18755578250717,-0.7307055441411149,7304,0.0,27.462365591397848,80.0,66.0,74.0,6.2,128.1,37.0,12.168068867407102,1.6625,61.78504928806134,34.32268369666349,76.98365622323838
23,"Dallas, TX",DFA LCD,WBTmin,54.01916757940855,15.36933041890257,-0.3688668955531424,5478,0.0,16.545454545454547,76.0,56.0,72.0,0.0,46.85,28.0,6.431226759351759,0.0,54.01916757940855,37.473713033954,64.18658339593368
24,"Denver, CO",DIA LCD,WBTmin,34.32550432276657,15.016137744346445,-0.3001463300874881,6940,-19.0,-7.533333333333333,63.0,34.0,53.0,0.0,0.0,9.0,0.0,0.0,53.32550432276657,41.8588376560999,54.75140186157479
25,"Detroit, MI",DCA LCD,WBTmin,40.35222245628818,17.312266583801463,-0.1803831823492455,4747,-13.0,-1.7037037037037035,77.0,40.0,59.0,0.0,1.6,12.0,1.0,0.0,53.35222245628818,42.05592615999189,71.13989435529771
26,"Dickinson, ND",DRA LCD,WBTmin,29.21613155833986,19.366349160037554,-0.4985268150544469,5108,-29.0,-21.916666666666668,72.0,30.0,46.0,0.0,0.1,-8.0,0.1333333333333333,0.0,58.21613155833986,51.132798225006525,72.05358574507032
27,"Dodge City, KS",DCA LCD,WBTmin,40.53848260750479,17.594914911120373,-0.1727346899323188,7302,-15.0,-0.4946236559139785,76.0,40.0,62.0,0.0,0.25,13.0,0.0,0.0,55.53848260750479,41.033106263418766,64.49237809441135
28,"Fargo, ND",FHA LCD,WBTmin,31.75943786166988,22.1907981126054,-0.4515119540497192,7258,-29.0,-22.05,79.0,34.0,32.0,0.05,0.6,-10.0,0.2,0.0,60.75943786166988,53.80943786166988,72.78018814634571
29,"Fresno, CA",FYI LCD,WBTmin,49.28661546900713,8.768546473069557,-0.2189491636023096,7292,0.0,28.34090909090909,71.0,49.0,48.0,0.0,0.05,34.0,0.0,0.0,49.28661546900713,20.94570637809804,57.50183124870431
30,"Grand Junction, CO",GJS LCD,WBTmin,35.362640372500685,13.96690598977064,-0.2938270799360864,7302,-15.0,-3.689189189189189,64.0,36.0,30.0,0.0,0.0,12.0,0.0,0.0,50.362640372500685,39.05182956168987,50.02244446870054
