,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO70,95Q,ACDO70,ACDOMM,Urange,Delta,RHavgOverall
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,WBTmin,54.33791560102302,5.9380815964910125,-0.9672371808323692,6256,30.0,36.586666666666666,65.0,56.0,59.0,0.0,0.0,42.0,0.0,0.0,24.33791560102302,17.751248934356354,42.49595905295491
2,"Amarillo, TX",AAS LCD,WBTmin,59.52197720882048,4.185572278715747,-1.134654475630154,6757,40.0,44.355555555555554,71.0,60.0,61.0,0.0,0.0125,51.0,0.0,0.0,19.52197720882048,15.166421653264926,59.06518562307874
3,"Atlanta, GA",AHJ LCD,WBTmin,67.08760545100584,4.128624163668119,-1.1640953234870972,6164,44.0,51.492537313432834,77.0,68.0,69.0,0.0,15.757142857142858,59.0,3.5102345415778253,0.0,23.08760545100584,15.595068137573008,69.17149640398807
4,"Augusta, ME",ASA LCD,WBTmin,56.073188405797104,6.018847689984179,-0.062646430188752,2760,36.0,40.96428571428572,74.0,56.0,57.0,0.0,0.1571428571428571,46.0,0.0666666666666666,0.0,20.073188405797104,15.108902691511387,73.13627070443104
5,"Austin, TX",ABI LCD,WBTmin,70.80880829015544,3.2292743100370016,-1.041629358313006,1930,54.0,59.6551724137931,77.0,71.0,72.0,0.0,38.333333333333336,65.0,6.920398913256058,0.0,16.80880829015544,11.153635876362337,72.22768807462114
6,"Bakersfield, CA",BAS LCD,WBTmin,57.846217240810944,4.578626876994191,-0.4533730935644163,6067,1.0,45.25,72.0,58.0,58.0,0.0,0.1142857142857142,50.0,0.0303030303030303,0.0,56.846217240810944,12.596217240810944,54.149099220897874
7,"Baltiore, MD",MSC LCD,WBTmin,65.79230210602759,5.383249417742656,-0.3986444090478885,1377,47.0,52.43333333333333,78.0,66.0,70.0,0.0,13.45,56.0,3.497380952380952,0.0,18.79230210602759,13.35896877269426,59.74228205780936
8,"Birmingham, AL",BHA LCD,WBTmin,67.35343414100929,4.509344112638476,-1.608820370394106,5489,5.0,50.01754385964912,77.0,68.0,70.0,0.0,17.9,58.0,3.961243386243386,0.0,62.35343414100929,17.335890281360165,71.0193987457835
9,"Boise, ID",BAT LCD,WBTmin,49.446138870863074,5.261172378820487,-0.1343685580278599,6164,28.0,35.34146341463415,65.0,49.0,48.0,0.0,0.0,41.0,0.0,0.0,21.44613887086308,14.104675456228923,56.98915545589348
